CampaignID,CampaignName,Channel,Spend,StartDate,EndDate
C001,Palm Jumeirah Luxury Villas,Google Ads,60608,2026-01-01 00:00:00,2026-03-31 00:00:00
C002,Abu Dhabi Waterfront Campaign,Meta Ads,81549,2026-01-01 00:00:00,2026-03-31 00:00:00
C003,Downtown Investor Campaign,Meta Ads,56133,2026-01-01 00:00:00,2026-03-31 00:00:00
C004,Downtown Investor Campaign,Meta Ads,48847,2026-01-01 00:00:00,2026-03-31 00:00:00
C005,Palm Jumeirah Luxury Villas,Bayut,68020,2026-01-01 00:00:00,2026-03-31 00:00:00
C006,Abu Dhabi Waterfront Campaign,Bayut,88778,2026-01-01 00:00:00,2026-03-31 00:00:00
C007,Dubai Marina Google Ads Q1,Google Ads,15788,2026-01-01 00:00:00,2026-03-31 00:00:00
C008,Downtown Investor Campaign,Meta Ads,21144,2026-01-01 00:00:00,2026-03-31 00:00:00
C009,Abu Dhabi Waterfront Campaign,Meta Ads,39365,2026-01-01 00:00:00,2026-03-31 00:00:00
C010,Dubai Marina Google Ads Q1,Property Finder,13150,2026-01-01 00:00:00,2026-03-31 00:00:00
C011,Dubai Marina Google Ads Q1,Property Finder,94083,2026-01-01 00:00:00,2026-03-31 00:00:00
C012,Downtown Investor Campaign,Bayut,32014,2026-01-01 00:00:00,2026-03-31 00:00:00
C013,Sharjah First Time Buyer Campaign,Meta Ads,96785,2026-01-01 00:00:00,2026-03-31 00:00:00
C014,Abu Dhabi Waterfront Campaign,Property Finder,87976,2026-01-01 00:00:00,2026-03-31 00:00:00
C015,Palm Jumeirah Luxury Villas,Bayut,71687,2026-01-01 00:00:00,2026-03-31 00:00:00
C016,Downtown Investor Campaign,Google Ads,25013,2026-01-01 00:00:00,2026-03-31 00:00:00
C017,Sharjah First Time Buyer Campaign,Property Finder,13449,2026-01-01 00:00:00,2026-03-31 00:00:00
C018,Dubai Marina Google Ads Q1,Bayut,77835,2026-01-01 00:00:00,2026-03-31 00:00:00
C019,Downtown Investor Campaign,Google Ads,39044,2026-01-01 00:00:00,2026-03-31 00:00:00
C020,Palm Jumeirah Luxury Villas,Meta Ads,69169,2026-01-01 00:00:00,2026-03-31 00:00:00
